title,full_price,discounted_price,product_length,product_page,product_category,author,brief_description,release_date,isbn
Java Fundamentals,$ 23.99,$ 16.80,408 pages,https://www.packtpub.com/application-development/java-fundamentals,application development,Gazihan Alankus et al.,Enhance your career options with this well-crafted object-oriented programming language that enjoys the support of an enormous ecosystem of tools and libraries,March 2019,9781789801736
Mastering VMware vSphere 6.7 - Second Edition,$ 39.99,$ 28.00,756 pages,https://www.packtpub.com/application-development/mastering-vmware-vsphere-67-second-edition,application development,Martin Gavanda et al.,"Unleash the benefits of VMware vSphere 6.7 to provide a powerful, flexible and secure digital infrastructure",March 2019,9781789613377
"MongoDB, Express, Angular, and Node.js Fundamentals",$ 27.99,$ 19.60,362 pages,https://www.packtpub.com/web-development/mongodb-express-angular-and-nodejs-fundamentals,web development,Paul Oluyege,"Build fast, robust, and maintainable modern full-stack web applications using MongoDB, Express, Angular, and Node.js.",March 2019,9781789808735
ITIL® 4 Foundation: Complete Course with 2 Practice Exams [Video],$ 182.99,$ 155.55,5 hours 50 minutes,https://www.packtpub.com/application-development/itil-4-foundation-complete-course-2-practice-exams-video,application development,Jason Dion,Your complete resource to passing the ITIL® 4 Foundation exam on the first attempt!,"Tuesday, March 12, 2019",9781838646783
Modern DevOps in Practice [Video],$ 124.99,$ 106.25,4 hours 20 minutes,https://www.packtpub.com/virtualization-and-cloud/modern-devops-practice-video,virtualization and cloud,Cory W. Cordell,Automate your infrastructure and overcome day-to-day IT infrastructure challenges,"Tuesday, March 5, 2019",9781789138030
Mastering Docker Enterprise,$ 39.99,$ 28.00,488 pages,https://www.packtpub.com/virtualization-and-cloud/mastering-docker-enterprise,virtualization and cloud,Mark Panthofer,"A journey toward containerized applications in production with a cloud-portable, secure, robust and highly available Docker Enterprise platform.",March 2019,9781789612073
Learning Apollo GraphQL [Video],$ 124.99,$ 106.25,1 hour 1 minute,https://www.packtpub.com/web-development/learning-apollo-graphql-video,web development,Doug Ortiz,Build modern data applications in less time with Apollo GraphQL,"Friday, March 22, 2019",9781838556365
Mastering Windows Server 2019 - Second Edition,$ 47.99,$ 33.60,524 pages,https://www.packtpub.com/virtualization-and-cloud/mastering-windows-server-2019-second-edition,virtualization and cloud,Jordan Krause,Enhance and secure your datacenter with the newest Microsoft server platform,March 2019,9781789804539
Mastering Ceph - Second Edition,$ 35.99,$ 25.20,345 pages,https://www.packtpub.com/virtualization-and-cloud/mastering-ceph-second-edition,virtualization and cloud,Nick Fisk,"Discover the unified, distributed storage system and improve the performance of applications",March 2019,9781789610703
Troubleshooting Android Performance [Video],$ 124.99,$ 106.25,2 hours 14 minutes ,https://www.packtpub.com/web-development/troubleshooting-android-performance-video,web development,Yusuf Saber,Smart and simple solutions to overcome common performance issues with Android,"Friday, March 22, 2019",9781838552114
Hands-On Dashboard Development with QlikView,$ 23.99,$ 16.80,156 pages,https://www.packtpub.com/big-data-and-business-intelligence/hands-dashboard-development-qlikview,big data and business intelligence,Abhishek Agarwal,A step-by-step approach to building stunning dashboards with QlikView,March 2019,9781838646110
C++ Fundamentals,$ 23.99,$ 16.80,350 pages,https://www.packtpub.com/application-development/c-fundamentals,application development,"Antonio Mallia, Francesco Zoffoli","Write high-level abstractions while retaining full control of the hardware, performances, and maintainability.",March 2019,9781789801491
